DATE,HOUR,TYPE,VALUE,NORMALIZED,HR,ITERATION,TEMPERATURE,NOISE,LUMINOSITY
3/4/2019,12:00:00 AM,T,24.49,0.56,69,1,24.49,38.031,0.16
3/4/2019,12:00:00 AM,N,38.03,0.06,69,1,24.49,38.031,0.16
3/4/2019,12:00:00 AM,L,0.16,0.02,69,1,24.49,38.031,0.16
3/4/2019,12:20:00 AM,T,24.56,0.57,68,2,24.56,37.253,0.26
3/4/2019,12:20:00 AM,N,37.25,0.04,68,2,24.56,37.253,0.26
3/4/2019,12:20:00 AM,L,0.26,0.03,68,2,24.56,37.253,0.26
3/4/2019,12:40:00 AM,T,24.55,0.57,68,3,24.55,38.18,2.2
3/4/2019,12:40:00 AM,N,38.18,0.07,68,3,24.55,38.18,2.2
3/4/2019,12:40:00 AM,L,2.2,0.35,68,3,24.55,38.18,2.2
3/4/2019,1:00:00 AM,T,24.5,0.56,67,4,24.5,38.242,2.13
3/4/2019,1:00:00 AM,N,38.24,0.07,67,4,24.5,38.242,2.13
3/4/2019,1:00:00 AM,L,2.13,0.34,67,4,24.5,38.242,2.13
3/4/2019,1:20:00 AM,T,24.53,0.57,68,5,24.53,50.062,2.12
3/4/2019,1:20:00 AM,N,50.06,0.37,68,5,24.53,50.062,2.12
3/4/2019,1:20:00 AM,L,2.12,0.34,68,5,24.53,50.062,2.12
3/4/2019,1:40:00 AM,T,24.59,0.58,68,6,24.59,41.095,2.24
3/4/2019,1:40:00 AM,N,41.1,0.14,68,6,24.59,41.095,2.24
3/4/2019,1:40:00 AM,L,2.24,0.36,68,6,24.59,41.095,2.24
3/4/2019,2:00:00 AM,T,24.62,0.59,66,7,24.62,38.031,2.76
3/4/2019,2:00:00 AM,N,38.03,0.06,66,7,24.62,38.031,2.76
3/4/2019,2:00:00 AM,L,2.76,0.45,66,7,24.62,38.031,2.76
3/4/2019,2:20:00 AM,T,24.62,0.59,63,8,24.62,36.105,0.48
3/4/2019,2:20:00 AM,N,36.11,0.01,63,8,24.62,36.105,0.48
3/4/2019,2:20:00 AM,L,0.48,0.07,63,8,24.62,36.105,0.48
3/4/2019,2:40:00 AM,T,24.68,0.6,58,9,24.68,50.051,0.17
3/4/2019,2:40:00 AM,N,50.05,0.37,58,9,24.68,50.051,0.17
3/4/2019,2:40:00 AM,L,0.17,0.02,58,9,24.68,50.051,0.17
3/4/2019,3:00:00 AM,T,24.63,0.59,61,10,24.63,36.172,0.08
3/4/2019,3:00:00 AM,N,36.17,0.01,61,10,24.63,36.172,0.08
3/4/2019,3:00:00 AM,L,0.08,0,61,10,24.63,36.172,0.08
3/4/2019,3:20:00 AM,T,24.58,0.58,60,11,24.58,36.271,0.09
3/4/2019,3:20:00 AM,N,36.27,0.02,60,11,24.58,36.271,0.09
3/4/2019,3:20:00 AM,L,0.09,0,60,11,24.58,36.271,0.09
3/4/2019,3:40:00 AM,T,24.54,0.57,62,12,24.54,36.522,0.08
3/4/2019,3:40:00 AM,N,36.52,0.02,62,12,24.54,36.522,0.08
3/4/2019,3:40:00 AM,L,0.08,0,62,12,24.54,36.522,0.08
3/4/2019,4:00:00 AM,T,24.56,0.57,62,13,24.56,36.238,0.09
3/4/2019,4:00:00 AM,N,36.24,0.01,62,13,24.56,36.238,0.09
3/4/2019,4:00:00 AM,L,0.09,0,62,13,24.56,36.238,0.09
3/4/2019,4:20:00 AM,T,24.55,0.57,55,14,24.55,36.238,0.09
3/4/2019,4:20:00 AM,N,36.24,0.01,55,14,24.55,36.238,0.09
3/4/2019,4:20:00 AM,L,0.09,0,55,14,24.55,36.238,0.09
3/4/2019,4:40:00 AM,T,24.6,0.58,58,15,24.6,36.271,0.09
3/4/2019,4:40:00 AM,N,36.27,0.02,58,15,24.6,36.271,0.09
3/4/2019,4:40:00 AM,L,0.09,0,58,15,24.6,36.271,0.09
3/4/2019,5:00:00 AM,T,24.51,0.56,53,16,24.51,36.875,0.09
3/4/2019,5:00:00 AM,N,36.88,0.03,53,16,24.51,36.875,0.09
3/4/2019,5:00:00 AM,L,0.09,0,53,16,24.51,36.875,0.09
3/4/2019,5:20:00 AM,T,24.56,0.57,54,17,24.56,36.461,0.08
3/4/2019,5:20:00 AM,N,36.46,0.02,54,17,24.56,36.461,0.08
3/4/2019,5:20:00 AM,L,0.08,0,54,17,24.56,36.461,0.08
3/4/2019,5:40:00 AM,T,24.56,0.57,56,18,24.56,36.367,0.07
3/4/2019,5:40:00 AM,N,36.37,0.02,56,18,24.56,36.367,0.07
3/4/2019,5:40:00 AM,L,0.07,0,56,18,24.56,36.367,0.07
3/4/2019,6:00:00 AM,T,24.5,0.56,53,19,24.5,36.461,0.08
3/4/2019,6:00:00 AM,N,36.46,0.02,53,19,24.5,36.461,0.08
3/4/2019,6:00:00 AM,L,0.08,0,53,19,24.5,36.461,0.08
3/4/2019,6:20:00 AM,T,24.49,0.56,55,20,24.49,36.583,0.08
3/4/2019,6:20:00 AM,N,36.58,0.02,55,20,24.49,36.583,0.08
3/4/2019,6:20:00 AM,L,0.08,0,55,20,24.49,36.583,0.08
3/4/2019,6:40:00 AM,T,24.44,0.54,53,21,24.44,57.999,0.08
3/4/2019,6:40:00 AM,N,58,0.58,53,21,24.44,57.999,0.08
3/4/2019,6:40:00 AM,L,0.08,0,53,21,24.44,57.999,0.08
3/4/2019,7:00:00 AM,T,25.29,0.76,58,22,25.29,36.398,0.15
3/4/2019,7:00:00 AM,N,36.4,0.02,58,22,25.29,36.398,0.15
3/4/2019,7:00:00 AM,L,0.15,0.01,58,22,25.29,36.398,0.15
3/4/2019,7:20:00 AM,T,24.59,0.58,60,23,24.59,36.43,0.66
3/4/2019,7:20:00 AM,N,36.43,0.02,60,23,24.59,36.43,0.66
3/4/2019,7:20:00 AM,L,0.66,0.1,60,23,24.59,36.43,0.66
3/4/2019,7:40:00 AM,T,24.41,0.54,63,24,24.41,37.38,0.08
3/4/2019,7:40:00 AM,N,37.38,0.04,63,24,24.41,37.38,0.08
3/4/2019,7:40:00 AM,L,0.08,0,63,24,24.41,37.38,0.08
3/4/2019,8:00:00 AM,T,24.49,0.56,64,25,24.49,37.576,0.07
3/4/2019,8:00:00 AM,N,37.58,0.05,64,25,24.49,37.576,0.07
3/4/2019,8:00:00 AM,L,0.07,0,64,25,24.49,37.576,0.07
3/5/2019,12:00:00 AM,T,24.01,0.43,69,1,24.01,50.996,1.5
3/5/2019,12:00:00 AM,N,51,0.4,69,1,24.01,50.996,1.5
3/5/2019,12:00:00 AM,L,1.5,0.24,69,1,24.01,50.996,1.5
3/5/2019,12:20:00 AM,T,23.91,0.41,68,2,23.91,36.613,2.02
3/5/2019,12:20:00 AM,N,36.61,0.02,68,2,23.91,36.613,2.02
3/5/2019,12:20:00 AM,L,2.02,0.32,68,2,23.91,36.613,2.02
3/5/2019,12:40:00 AM,T,24.1,0.46,69,3,24.1,36.613,0.6
3/5/2019,12:40:00 AM,N,36.61,0.02,69,3,24.1,36.613,0.6
3/5/2019,12:40:00 AM,L,0.6,0.09,69,3,24.1,36.613,0.6
3/5/2019,1:00:00 AM,T,24.16,0.47,65,4,24.16,36.43,0.08
3/5/2019,1:00:00 AM,N,36.43,0.02,65,4,24.16,36.43,0.08
3/5/2019,1:00:00 AM,L,0.08,0,65,4,24.16,36.43,0.08
3/5/2019,1:20:00 AM,T,24.13,0.46,64,5,24.13,36.335,0.08
3/5/2019,1:20:00 AM,N,36.34,0.02,64,5,24.13,36.335,0.08
3/5/2019,1:20:00 AM,L,0.08,0,64,5,24.13,36.335,0.08
3/5/2019,1:40:00 AM,T,24.26,0.5,63,6,24.26,36.271,0.08
3/5/2019,1:40:00 AM,N,36.27,0.02,63,6,24.26,36.271,0.08
3/5/2019,1:40:00 AM,L,0.08,0,63,6,24.26,36.271,0.08
3/5/2019,2:00:00 AM,T,24.29,0.51,65,7,24.29,35.863,0.08
3/5/2019,2:00:00 AM,N,35.86,0,65,7,24.29,35.863,0.08
3/5/2019,2:00:00 AM,L,0.08,0,65,7,24.29,35.863,0.08
3/5/2019,2:20:00 AM,T,24.17,0.47,63,8,24.17,36.003,0.08
3/5/2019,2:20:00 AM,N,36,0.01,63,8,24.17,36.003,0.08
3/5/2019,2:20:00 AM,L,0.08,0,63,8,24.17,36.003,0.08
3/5/2019,2:40:00 AM,T,24.15,0.47,62,9,24.15,35.899,0.08
3/5/2019,2:40:00 AM,N,35.9,0.01,62,9,24.15,35.899,0.08
3/5/2019,2:40:00 AM,L,0.08,0,62,9,24.15,35.899,0.08
3/5/2019,3:00:00 AM,T,23.96,0.42,62,10,23.96,35.863,0.08
3/5/2019,3:00:00 AM,N,35.86,0,62,10,23.96,35.863,0.08
3/5/2019,3:00:00 AM,L,0.08,0,62,10,23.96,35.863,0.08
3/5/2019,3:20:00 AM,T,24.07,0.45,60,11,24.07,35.863,0.08
3/5/2019,3:20:00 AM,N,35.86,0,60,11,24.07,35.863,0.08
3/5/2019,3:20:00 AM,L,0.08,0,60,11,24.07,35.863,0.08
3/5/2019,3:40:00 AM,T,24,0.43,58,12,24,35.899,0.09
3/5/2019,3:40:00 AM,N,35.9,0.01,58,12,24,35.899,0.09
3/5/2019,3:40:00 AM,L,0.09,0,58,12,24,35.899,0.09
3/5/2019,4:00:00 AM,T,23.98,0.43,55,13,23.98,35.827,0.07
3/5/2019,4:00:00 AM,N,35.83,0,55,13,23.98,35.827,0.07
3/5/2019,4:00:00 AM,L,0.07,0,55,13,23.98,35.827,0.07
3/5/2019,4:20:00 AM,T,23.88,0.4,54,14,23.88,35.863,0.07
3/5/2019,4:20:00 AM,N,35.86,0,54,14,23.88,35.863,0.07
3/5/2019,4:20:00 AM,L,0.07,0,54,14,23.88,35.863,0.07
3/5/2019,4:40:00 AM,T,23.85,0.39,53,15,23.85,35.969,0.08
3/5/2019,4:40:00 AM,N,35.97,0.01,53,15,23.85,35.969,0.08
3/5/2019,4:40:00 AM,L,0.08,0,53,15,23.85,35.969,0.08
3/5/2019,5:00:00 AM,T,23.83,0.39,53,16,23.83,36.038,0.07
3/5/2019,5:00:00 AM,N,36.04,0.01,53,16,23.83,36.038,0.07
3/5/2019,5:00:00 AM,L,0.07,0,53,16,23.83,36.038,0.07
3/5/2019,5:20:00 AM,T,23.85,0.39,60,17,23.85,35.827,0.07
3/5/2019,5:20:00 AM,N,35.83,0,60,17,23.85,35.827,0.07
3/5/2019,5:20:00 AM,L,0.07,0,60,17,23.85,35.827,0.07
3/5/2019,5:40:00 AM,T,23.8,0.38,55,18,23.8,35.863,0.06
3/5/2019,5:40:00 AM,N,35.86,0,55,18,23.8,35.863,0.06
3/5/2019,5:40:00 AM,L,0.06,0,55,18,23.8,35.863,0.06
3/5/2019,6:00:00 AM,T,23.7,0.36,54,19,23.7,36.583,0.08
3/5/2019,6:00:00 AM,N,36.58,0.02,54,19,23.7,36.583,0.08
3/5/2019,6:00:00 AM,L,0.08,0,54,19,23.7,36.583,0.08
3/5/2019,6:20:00 AM,T,23.69,0.35,52,20,23.69,35.934,0.07
3/5/2019,6:20:00 AM,N,35.93,0.01,52,20,23.69,35.934,0.07
3/5/2019,6:20:00 AM,L,0.07,0,52,20,23.69,35.934,0.07
3/5/2019,6:40:00 AM,T,23.43,0.29,54,21,23.43,36.613,0.07
3/5/2019,6:40:00 AM,N,36.61,0.02,54,21,23.43,36.613,0.07
3/5/2019,6:40:00 AM,L,0.07,0,54,21,23.43,36.613,0.07
3/5/2019,7:00:00 AM,T,23.49,0.3,56,22,23.49,36.702,0.07
3/5/2019,7:00:00 AM,N,36.7,0.03,56,22,23.49,36.702,0.07
3/5/2019,7:00:00 AM,L,0.07,0,56,22,23.49,36.702,0.07
3/5/2019,7:20:00 AM,T,23.45,0.29,54,23,23.45,36.673,0.08
3/5/2019,7:20:00 AM,N,36.67,0.03,54,23,23.45,36.673,0.08
3/5/2019,7:20:00 AM,L,0.08,0,54,23,23.45,36.673,0.08
3/5/2019,7:40:00 AM,T,24.3,0.51,55,24,24.3,72.94,0.08
3/5/2019,7:40:00 AM,N,72.94,0.97,55,24,24.3,72.94,0.08
3/5/2019,7:40:00 AM,L,0.08,0,55,24,24.3,72.94,0.08
3/5/2019,8:00:00 AM,T,26.25,1,60,25,26.25,74.073,0.16
3/5/2019,8:00:00 AM,N,74.07,1,60,25,26.25,74.073,0.16
3/5/2019,8:00:00 AM,L,0.16,0.02,60,25,26.25,74.073,0.16
3/6/2019,12:00:00 AM,T,23.67,0.35,68,1,23.67,35.718,0.08
3/6/2019,12:00:00 AM,N,35.72,0,68,1,23.67,35.718,0.08
3/6/2019,12:00:00 AM,L,0.08,0,68,1,23.67,35.718,0.08
3/6/2019,12:20:00 AM,T,23.47,0.3,66,2,23.47,35.863,0.07
3/6/2019,12:20:00 AM,N,35.86,0,66,2,23.47,35.863,0.07
3/6/2019,12:20:00 AM,L,0.07,0,66,2,23.47,35.863,0.07
3/6/2019,12:40:00 AM,T,23.37,0.27,68,3,23.37,57.565,0.07
3/6/2019,12:40:00 AM,N,57.57,0.57,68,3,23.37,57.565,0.07
3/6/2019,12:40:00 AM,L,0.07,0,68,3,23.37,57.565,0.07
3/6/2019,1:00:00 AM,T,23.49,0.3,64,4,23.49,35.718,0.08
3/6/2019,1:00:00 AM,N,35.72,0,64,4,23.49,35.718,0.08
3/6/2019,1:00:00 AM,L,0.08,0,64,4,23.49,35.718,0.08
3/6/2019,1:20:00 AM,T,23.38,0.28,60,5,23.38,35.718,0.08
3/6/2019,1:20:00 AM,N,35.72,0,60,5,23.38,35.718,0.08
3/6/2019,1:20:00 AM,L,0.08,0,60,5,23.38,35.718,0.08
3/6/2019,1:40:00 AM,T,23.31,0.26,62,6,23.31,35.791,0.08
3/6/2019,1:40:00 AM,N,35.79,0,62,6,23.31,35.791,0.08
3/6/2019,1:40:00 AM,L,0.08,0,62,6,23.31,35.791,0.08
3/6/2019,2:00:00 AM,T,23.36,0.27,60,7,23.36,35.718,0.07
3/6/2019,2:00:00 AM,N,35.72,0,60,7,23.36,35.718,0.07
3/6/2019,2:00:00 AM,L,0.07,0,60,7,23.36,35.718,0.07
3/6/2019,2:20:00 AM,T,23.43,0.29,58,8,23.43,35.718,0.08
3/6/2019,2:20:00 AM,N,35.72,0,58,8,23.43,35.718,0.08
3/6/2019,2:20:00 AM,L,0.08,0,58,8,23.43,35.718,0.08
3/6/2019,2:40:00 AM,T,23.4,0.28,58,9,23.4,35.718,0.07
3/6/2019,2:40:00 AM,N,35.72,0,58,9,23.4,35.718,0.07
3/6/2019,2:40:00 AM,L,0.07,0,58,9,23.4,35.718,0.07
3/6/2019,3:00:00 AM,T,23.38,0.28,56,10,23.38,35.827,0.08
3/6/2019,3:00:00 AM,N,35.83,0,56,10,23.38,35.827,0.08
3/6/2019,3:00:00 AM,L,0.08,0,56,10,23.38,35.827,0.08
3/6/2019,3:20:00 AM,T,23.44,0.29,59,11,23.44,35.718,0.07
3/6/2019,3:20:00 AM,N,35.72,0,59,11,23.44,35.718,0.07
3/6/2019,3:20:00 AM,L,0.07,0,59,11,23.44,35.718,0.07
3/6/2019,3:40:00 AM,T,23.44,0.29,58,12,23.44,35.791,0.07
3/6/2019,3:40:00 AM,N,35.79,0,58,12,23.44,35.791,0.07
3/6/2019,3:40:00 AM,L,0.07,0,58,12,23.44,35.791,0.07
3/6/2019,4:00:00 AM,T,23.46,0.3,55,13,23.46,35.718,0.07
3/6/2019,4:00:00 AM,N,35.72,0,55,13,23.46,35.718,0.07
3/6/2019,4:00:00 AM,L,0.07,0,55,13,23.46,35.718,0.07
3/6/2019,4:20:00 AM,T,23.35,0.27,54,14,23.35,35.755,0.07
3/6/2019,4:20:00 AM,N,35.76,0,54,14,23.35,35.755,0.07
3/6/2019,4:20:00 AM,L,0.07,0,54,14,23.35,35.755,0.07
3/6/2019,4:40:00 AM,T,23.23,0.24,53,15,23.23,35.755,0.08
3/6/2019,4:40:00 AM,N,35.76,0,53,15,23.23,35.755,0.08
3/6/2019,4:40:00 AM,L,0.08,0,53,15,23.23,35.755,0.08
3/6/2019,5:00:00 AM,T,23.36,0.27,55,16,23.36,35.755,0.07
3/6/2019,5:00:00 AM,N,35.76,0,55,16,23.36,35.755,0.07
3/6/2019,5:00:00 AM,L,0.07,0,55,16,23.36,35.755,0.07
3/6/2019,5:20:00 AM,T,23.16,0.22,58,17,23.16,35.863,0.07
3/6/2019,5:20:00 AM,N,35.86,0,58,17,23.16,35.863,0.07
3/6/2019,5:20:00 AM,L,0.07,0,58,17,23.16,35.863,0.07
3/6/2019,5:40:00 AM,T,23.25,0.24,59,18,23.25,36.958,0.07
3/6/2019,5:40:00 AM,N,36.96,0.03,59,18,23.25,36.958,0.07
3/6/2019,5:40:00 AM,L,0.07,0,59,18,23.25,36.958,0.07
3/6/2019,6:00:00 AM,T,23.19,0.23,58,19,23.19,36.789,0.07
3/6/2019,6:00:00 AM,N,36.79,0.03,58,19,23.19,36.789,0.07
3/6/2019,6:00:00 AM,L,0.07,0,58,19,23.19,36.789,0.07
3/6/2019,6:20:00 AM,T,23.18,0.22,54,20,23.18,36.789,0.07
3/6/2019,6:20:00 AM,N,36.79,0.03,54,20,23.18,36.789,0.07
3/6/2019,6:20:00 AM,L,0.07,0,54,20,23.18,36.789,0.07
3/6/2019,6:40:00 AM,T,23.04,0.19,56,21,23.04,37.174,0.07
3/6/2019,6:40:00 AM,N,37.17,0.04,56,21,23.04,37.174,0.07
3/6/2019,6:40:00 AM,L,0.07,0,56,21,23.04,37.174,0.07
3/6/2019,7:00:00 AM,T,23.05,0.19,57,22,23.05,36.818,0.07
3/6/2019,7:00:00 AM,N,36.82,0.03,57,22,23.05,36.818,0.07
3/6/2019,7:00:00 AM,L,0.07,0,57,22,23.05,36.818,0.07
3/6/2019,7:20:00 AM,T,23.11,0.21,57,23,23.11,40.276,0.08
3/6/2019,7:20:00 AM,N,40.28,0.12,57,23,23.11,40.276,0.08
3/6/2019,7:20:00 AM,L,0.08,0,57,23,23.11,40.276,0.08
3/6/2019,7:40:00 AM,T,24.6,0.58,54,24,24.6,72.845,0.44
3/6/2019,7:40:00 AM,N,72.85,0.97,54,24,24.6,72.845,0.44
3/6/2019,7:40:00 AM,L,0.44,0.06,54,24,24.6,72.845,0.44
3/6/2019,8:00:00 AM,T,25.35,0.77,55,25,25.35,69.922,0.52
3/6/2019,8:00:00 AM,N,69.92,0.89,55,25,25.35,69.922,0.52
3/6/2019,8:00:00 AM,L,0.52,0.08,55,25,25.35,69.922,0.52
3/7/2019,12:00:00 AM,T,24.85,0.65,64,1,24.85,48.362,0.19
3/7/2019,12:00:00 AM,N,48.36,0.33,64,1,24.85,48.362,0.19
3/7/2019,12:00:00 AM,L,0.19,0.02,64,1,24.85,48.362,0.19
3/7/2019,12:20:00 AM,T,25.4,0.79,64,2,25.4,35.718,0.07
3/7/2019,12:20:00 AM,N,35.72,0,64,2,25.4,35.718,0.07
3/7/2019,12:20:00 AM,L,0.07,0,64,2,25.4,35.718,0.07
3/7/2019,12:40:00 AM,T,24.7,0.61,66,3,24.7,35.718,0.08
3/7/2019,12:40:00 AM,N,35.72,0,66,3,24.7,35.718,0.08
3/7/2019,12:40:00 AM,L,0.08,0,66,3,24.7,35.718,0.08
3/7/2019,1:00:00 AM,T,24.29,0.51,65,4,24.29,36.072,0.08
3/7/2019,1:00:00 AM,N,36.07,0.01,65,4,24.29,36.072,0.08
3/7/2019,1:00:00 AM,L,0.08,0,65,4,24.29,36.072,0.08
3/7/2019,1:20:00 AM,T,23.3,0.26,62,5,23.3,35.718,0.07
3/7/2019,1:20:00 AM,N,35.72,0,62,5,23.3,35.718,0.07
3/7/2019,1:20:00 AM,L,0.07,0,62,5,23.3,35.718,0.07
3/7/2019,1:40:00 AM,T,23.45,0.29,59,6,23.45,35.755,0.08
3/7/2019,1:40:00 AM,N,35.76,0,59,6,23.45,35.755,0.08
3/7/2019,1:40:00 AM,L,0.08,0,59,6,23.45,35.755,0.08
3/7/2019,2:00:00 AM,T,23.43,0.29,56,7,23.43,36.43,0.07
3/7/2019,2:00:00 AM,N,36.43,0.02,56,7,23.43,36.43,0.07
3/7/2019,2:00:00 AM,L,0.07,0,56,7,23.43,36.43,0.07
3/7/2019,2:20:00 AM,T,23.39,0.28,57,8,23.39,36.038,0.07
3/7/2019,2:20:00 AM,N,36.04,0.01,57,8,23.39,36.038,0.07
3/7/2019,2:20:00 AM,L,0.07,0,57,8,23.39,36.038,0.07
3/7/2019,2:40:00 AM,T,23.36,0.27,58,9,23.36,36.038,0.08
3/7/2019,2:40:00 AM,N,36.04,0.01,58,9,23.36,36.038,0.08
3/7/2019,2:40:00 AM,L,0.08,0,58,9,23.36,36.038,0.08
3/7/2019,3:00:00 AM,T,23.34,0.27,57,10,23.34,35.934,0.08
3/7/2019,3:00:00 AM,N,35.93,0.01,57,10,23.34,35.934,0.08
3/7/2019,3:00:00 AM,L,0.08,0,57,10,23.34,35.934,0.08
3/7/2019,3:20:00 AM,T,23.35,0.27,54,11,23.35,35.791,0.07
3/7/2019,3:20:00 AM,N,35.79,0,54,11,23.35,35.791,0.07
3/7/2019,3:20:00 AM,L,0.07,0,54,11,23.35,35.791,0.07
3/7/2019,3:40:00 AM,T,23.29,0.25,52,12,23.29,35.827,0.07
3/7/2019,3:40:00 AM,N,35.83,0,52,12,23.29,35.827,0.07
3/7/2019,3:40:00 AM,L,0.07,0,52,12,23.29,35.827,0.07
3/7/2019,4:00:00 AM,T,23.35,0.27,53,13,23.35,35.755,0.08
